epoch,timestamp,operations,operations-delta,operations/second
1694181038.721,08/09/2023 13:50:38,5829,5829,5823.177
1694181039.721,08/09/2023 13:50:39,9591,3762,3762
1694181040.721,08/09/2023 13:50:40,12318,2727,2727
1694181041.721,08/09/2023 13:50:41,14382,2064,2064
1694181042.721,08/09/2023 13:50:42,16310,1928,1928
1694181043.721,08/09/2023 13:50:43,18768,2458,2458
1694181044.721,08/09/2023 13:50:44,26164,7396,7396
1694181045.721,08/09/2023 13:50:45,30286,4122,4122
1694181046.721,08/09/2023 13:50:46,35341,5055,5055
1694181047.722,08/09/2023 13:50:47,37874,2533,2530.47
1694181048.722,08/09/2023 13:50:48,40562,2688,2688
1694181049.722,08/09/2023 13:50:49,42947,2385,2385
1694181050.722,08/09/2023 13:50:50,45929,2982,2982
1694181051.722,08/09/2023 13:50:51,49443,3514,3514
1694181052.722,08/09/2023 13:50:52,51875,2432,2432
1694181053.722,08/09/2023 13:50:53,54183,2308,2308
1694181054.722,08/09/2023 13:50:54,56217,2034,2034
1694181055.722,08/09/2023 13:50:55,57727,1510,1510
1694181056.722,08/09/2023 13:50:56,59503,1776,1776
1694181057.722,08/09/2023 13:50:57,61823,2320,2320
1694181058.722,08/09/2023 13:50:58,64168,2345,2345
1694181059.722,08/09/2023 13:50:59,68351,4183,4183
1694181060.722,08/09/2023 13:51:00,71078,2727,2727
1694181061.722,08/09/2023 13:51:01,73304,2226,2226
1694181062.723,08/09/2023 13:51:02,75102,1798,1796.204
1694181063.723,08/09/2023 13:51:03,76607,1505,1505
1694181064.723,08/09/2023 13:51:04,78013,1406,1406
1694181065.723,08/09/2023 13:51:05,79312,1299,1299
1694181066.723,08/09/2023 13:51:06,86845,7533,7533
1694181067.723,08/09/2023 13:51:07,93648,6803,6803
1694181068.723,08/09/2023 13:51:08,97065,3417,3417
1694181069.723,08/09/2023 13:51:09,99535,2470,2470
1694181070.723,08/09/2023 13:51:10,110393,10858,10858
1694181071.723,08/09/2023 13:51:11,114978,4585,4585
1694181072.723,08/09/2023 13:51:12,117763,2785,2785
1694181073.723,08/09/2023 13:51:13,119832,2069,2069
1694181074.723,08/09/2023 13:51:14,130357,10525,10525
1694181075.723,08/09/2023 13:51:15,134376,4019,4019
1694181076.723,08/09/2023 13:51:16,136899,2523,2523
1694181077.724,08/09/2023 13:51:17,138771,1872,1870.13
1694181078.724,08/09/2023 13:51:18,142976,4205,4205
1694181079.724,08/09/2023 13:51:19,151170,8194,8194
1694181080.724,08/09/2023 13:51:20,154767,3597,3597
1694181081.724,08/09/2023 13:51:21,157340,2573,2573
1694181082.724,08/09/2023 13:51:22,159310,1970,1970
1694181083.724,08/09/2023 13:51:23,168428,9118,9118
1694181084.724,08/09/2023 13:51:24,173520,5092,5092
1694181085.724,08/09/2023 13:51:25,176355,2835,2835
1694181086.724,08/09/2023 13:51:26,178710,2355,2355
1694181087.724,08/09/2023 13:51:27,186242,7532,7532
1694181088.724,08/09/2023 13:51:28,193339,7097,7097
1694181089.724,08/09/2023 13:51:29,196777,3438,3438
1694181090.724,08/09/2023 13:51:30,199135,2358,2358
1694181091.725,08/09/2023 13:51:31,206914,7779,7771.229
1694181092.725,08/09/2023 13:51:32,211877,4963,4963
1694181093.725,08/09/2023 13:51:33,214704,2827,2827
1694181094.725,08/09/2023 13:51:34,216741,2037,2037
1694181095.725,08/09/2023 13:51:35,218315,1574,1574
1694181096.725,08/09/2023 13:51:36,222008,3693,3693
1694181097.725,08/09/2023 13:51:37,232361,10353,10353
1694181098.725,08/09/2023 13:51:38,236279,3918,3918
1694181099.725,08/09/2023 13:51:39,238565,2286,2286
1694181100.725,08/09/2023 13:51:40,242821,4256,4256
1694181101.725,08/09/2023 13:51:41,251023,8202,8202
1694181102.725,08/09/2023 13:51:42,254560,3537,3537
1694181103.725,08/09/2023 13:51:43,257073,2513,2513
1694181104.725,08/09/2023 13:51:44,258995,1922,1922
1694181105.726,08/09/2023 13:51:45,265924,6929,6922.078
1694181106.726,08/09/2023 13:51:46,272837,6913,6913
1694181107.726,08/09/2023 13:51:47,276198,3361,3361
1694181108.726,08/09/2023 13:51:48,278571,2373,2373
1694181109.726,08/09/2023 13:51:49,283494,4923,4923
1694181110.726,08/09/2023 13:51:50,289816,6322,6322
1694181111.726,08/09/2023 13:51:51,293070,3254,3254
1694181112.726,08/09/2023 13:51:52,295493,2423,2423
1694181113.726,08/09/2023 13:51:53,297644,2151,2151
1694181114.726,08/09/2023 13:51:54,299501,1857,1857
1694181115.726,08/09/2023 13:51:55,309970,10469,10469
1694181116.726,08/09/2023 13:51:56,315060,5090,5090
1694181117.726,08/09/2023 13:51:57,317987,2927,2927
1694181118.726,08/09/2023 13:51:58,322986,4999,4999
1694181119.726,08/09/2023 13:51:59,333136,10150,10150
1694181120.727,08/09/2023 13:52:00,336969,3833,3829.171
1694181121.727,08/09/2023 13:52:01,339453,2484,2484
1694181122.727,08/09/2023 13:52:02,350610,11157,11157
1694181123.727,08/09/2023 13:52:03,355769,5159,5159
1694181124.727,08/09/2023 13:52:04,358682,2913,2913
1694181125.727,08/09/2023 13:52:05,366631,7949,7949
1694181126.727,08/09/2023 13:52:06,372855,6224,6224
1694181127.727,08/09/2023 13:52:07,376051,3196,3196
1694181128.727,08/09/2023 13:52:08,378236,2185,2185
1694181129.727,08/09/2023 13:52:09,380033,1797,1797
1694181130.727,08/09/2023 13:52:10,390614,10581,10581
1694181131.727,08/09/2023 13:52:11,394665,4051,4051
1694181132.727,08/09/2023 13:52:12,397175,2510,2510
1694181133.727,08/09/2023 13:52:13,399261,2086,2086
1694181134.728,08/09/2023 13:52:14,407453,8192,8183.816
1694181135.728,08/09/2023 13:52:15,412377,4924,4924
1694181136.728,08/09/2023 13:52:16,415278,2901,2901
1694181137.728,08/09/2023 13:52:17,417366,2088,2088
1694181138.728,08/09/2023 13:52:18,419318,1952,1952
1694181139.728,08/09/2023 13:52:19,428770,9452,9452
1694181140.728,08/09/2023 13:52:20,433957,5187,5187
1694181141.728,08/09/2023 13:52:21,436899,2942,2942
1694181142.728,08/09/2023 13:52:22,439229,2330,2330
1694181143.728,08/09/2023 13:52:23,449454,10225,10225
1694181144.728,08/09/2023 13:52:24,455318,5864,5864
1694181145.728,08/09/2023 13:52:25,458512,3194,3194
1694181146.728,08/09/2023 13:52:26,467399,8887,8887
1694181147.728,08/09/2023 13:52:27,474787,7388,7388
1694181148.728,08/09/2023 13:52:28,478265,3478,3478
1694181149.729,08/09/2023 13:52:29,485527,7262,7254.745
1694181150.729,08/09/2023 13:52:30,492820,7293,7293
1694181151.729,08/09/2023 13:52:31,496285,3465,3465
1694181152.729,08/09/2023 13:52:32,498615,2330,2330
1694181153.729,08/09/2023 13:52:33,504764,6149,6149
1694181154.729,08/09/2023 13:52:34,513559,8795,8795
1694181155.729,08/09/2023 13:52:35,517278,3719,3719
1694181156.729,08/09/2023 13:52:36,519693,2415,2415
